unix_ms,frame,timestamp,event,target_number,world_pos_x,world_pos_y,world_pos_z,left_screen_pos_x,left_screen_pos_y,left_screen_pos_z,center_screen_pos_x,center_screen_pos_y,center_screen_pos_z,right_screen_pos_x,right_screen_pos_y,right_screen_pos_z
1765410728292,6876,95.98688,Start,,0,0,0,0,0,0,0,0,0,0,0,0
1765410728292,6876,0,Target,0,4.098919,6.273473,49.55917,840.2557,880,50,840,880,50,839.7443,880,50.00001
1765410730903,7066,3.000107,Target,1,10.03279,12.38591,47.68763,890.8309,979.0485,49.24039,939.0485,979.0485,49.24039,890.3116,979.0485,49.24039
1765410733917,7283,6.014191,Target,2,-1.793233,11.74561,48.836,789.6884,979.0485,49.24039,740.9514,979.0485,49.24039,789.169,979.0485,49.24039
1765410736931,7500,9.027946,Target,3,-0.9013253,-1.01553,49.92039,789.6883,780.9514,49.24039,740.9514,780.9514,49.24039,789.169,780.9514,49.24039
1765410739945,7717,12.04223,Target,4,11.76786,-1.176673,48.52179,891.1476,781.5756,49.24039,939.6689,781.5756,49.24039,890.6284,781.5756,49.24039
1765410742959,7934,15.05572,Target,5,23.08211,3.255625,44.30765,987.8993,880,46.98462,1129.141,880,46.98463,987.355,880,46.98463
1765410745972,8151,18.06954,Target,6,6.148453,20.37358,45.7804,840.2722,1169.141,46.98462,840,1169.141,46.98463,839.7279,1169.141,46.98462
1765410748986,8368,21.0836,Target,7,-10.39521,2.59506,48.86784,692.645,880,46.98463,550.8586,880,46.98463,692.1007,880,46.98463
1765410751987,8584,24.08379,Target,8,6.79088,-14.26913,47.02884,840.2722,590.8586,46.98463,840,590.8586,46.98463,839.7279,590.8586,46.98463
1765410755000,8801,27.09734,End,,0,0,0,0,0,0,0,0,0,0,0,0
